"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"AC007277.1",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"AC007277.1"
"AC092422.1",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"AC092422.1"
"ARF4-AS1",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"ARF4-AS1"
"AL033384.2",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"AL033384.2"
"CARS-AS1",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"CARS-AS1"
"AC009869.1",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"AC009869.1"
"PRB1",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"PRB1"
"KRT86",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"KRT86"
"AC026765.2",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"AC026765.2"
"AL021546.1",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"AL021546.1"
"GPX2",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"GPX2"
"AL162171.2",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"AL162171.2"
"LINC02352",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"LINC02352"
"LINC01586",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"LINC01586"
"AC135050.2",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"AC135050.2"
"ZNF233",0.187752731688525,3.86747381099041,0.404208105427965,0.687935810355734,0.999012655624892,-4.88243426466432,"ZNF233"
"SLC8A1-AS1",0.186475099785325,4.04293349361901,0.404034193913577,0.687948164861688,0.999012655624892,-4.89036083602349,"SLC8A1-AS1"
"SPAST",0.157377483232239,5.60146171450333,0.403098039579945,0.688088607888889,0.999012655624892,-4.99322823770804,"SPAST"
"NCK1-DT",0.1835567469723,4.0920940269104,0.403667184183104,0.688114961770802,0.999012655624892,-4.88938716990736,"NCK1-DT"
"AC005258.1",0.193579337439432,4.23758407769701,0.403652711511117,0.688125539463513,0.999012655624892,-4.90365465680207,"AC005258.1"
"CEP89",0.153943909830511,5.44013018821186,0.403001196300017,0.688159524355335,0.999012655624892,-4.99135621504818,"CEP89"
"TMTC4",0.167419486787787,5.10847003026287,0.40298799901157,0.688169188692005,0.999012655624892,-4.95940008718281,"TMTC4"
"TFAP4",-0.190406594743247,4.13029379007716,-0.402969650511987,0.688182625332304,0.999012655624892,-4.89656357399777,"TFAP4"
"SUPT5H",0.162866865615407,5.93550193946413,0.402886571071852,0.688243465818427,0.999012655624892,-5.00044927156334,"SUPT5H"
"OFD1",0.159740473561686,5.57892570457676,0.402469893109358,0.688548637247384,0.999012655624892,-4.99582446631768,"OFD1"
"ZNF432",0.14843436562289,5.49714486723776,0.402442563413293,0.688568655096663,0.999012655624892,-4.98486336790488,"ZNF432"
"SUB1",-0.137371511232126,6.40075497655765,-0.402424076450233,0.688582196143416,0.999012655624892,-5.02459674227489,"SUB1"
"FAM43A",-0.18516183895481,4.37935317736261,-0.402384379843927,0.688611272848302,0.999012655624892,-4.91785613898099,"FAM43A"
"BRCA2",0.174481130491102,3.98956414210318,0.402121725412948,0.68880367204982,0.999012655624892,-4.89005890936658,"BRCA2"
"ZNF461",-0.168611281251869,4.67257605063224,-0.402109918830839,0.688812321071358,0.999012655624892,-4.93341669939343,"ZNF461"
"SEMA6C",-0.173179798375575,4.30191419933746,-0.401990889409556,0.688899519501615,0.999012655624892,-4.91265677430058,"SEMA6C"
"RNF219",0.165500216544505,4.78835883098829,0.401530065989975,0.689237148768883,0.999012655624892,-4.94313984205275,"RNF219"
"SPPL2A",0.145769273144266,6.34857915588977,0.401416037452141,0.689320703265425,0.999012655624892,-5.03432125901528,"SPPL2A"
"GOT2",-0.160180632407729,5.18795086243344,-0.401261902919808,0.689433651610019,0.999012655624892,-4.96471079950304,"GOT2"
"FBXL20",0.130105708340974,7.43943913943406,0.401193956432636,0.689483444405592,0.999012655624892,-5.09505960727024,"FBXL20"
"SLC25A20",-0.151057425365461,4.86590439114352,-0.401188886767481,0.689487159631387,0.999012655624892,-4.94799047187749,"SLC25A20"
"ADGRE5",0.153713770209345,6.02202927773562,0.401172864617568,0.689498901266714,0.999012655624892,-5.02046669987862,"ADGRE5"
"CKMT2",0.147163570559426,5.29195827765249,0.401101480758525,0.689551214977024,0.999012655624892,-4.97110015357595,"CKMT2"
"EMC9",0.172946331436169,4.44703470526792,0.400897554800482,0.68970067060423,0.999012655624892,-4.92081499629262,"EMC9"
"SLC43A1",0.166684293276452,4.46708301867691,0.400877074748276,0.689715680946264,0.999012655624892,-4.91917020002504,"SLC43A1"
"NOP9",-0.186488086466186,3.91700388913795,-0.401746870436484,0.689733697205738,0.999012655624892,-4.883048810197,"NOP9"
"DM1-AS",-0.177940921868608,4.05426380859978,-0.401561536178177,0.689755310948666,0.999012655624892,-4.89287173029251,"DM1-AS"
"XRN2",-0.143527125066862,6.69492274760586,-0.400613866779446,0.689908603740912,0.999012655624892,-5.04959771234292,"XRN2"
"FAM217B",0.158078534614033,4.84018339001023,0.400539933448796,0.689962798147026,0.999012655624892,-4.9473123762473,"FAM217B"
"ANAPC2",-0.177358018958548,4.21071462951101,-0.400537794516531,0.689964366045426,0.999012655624892,-4.90825023014751,"ANAPC2"
"STAMBPL1",0.154082374793382,4.79200298705976,0.400425159625532,0.690046932555418,0.999012655624892,-4.94552166136874,"STAMBPL1"
"ZNF597",0.173093933703993,4.05426380859978,0.4004149406754,0.690054423698182,0.999012655624892,-4.89127446577296,"ZNF597"
"ACER3",0.147471057727701,5.9596487789357,0.400276619807787,0.690155824774538,0.999012655624892,-5.02125035668844,"ACER3"
"AC130324.2",0.19618964324038,4.10379388674732,0.400662061935014,0.690312670314405,0.999012655624892,-4.8901491531316,"AC130324.2"
"GSTO1",-0.15156028005479,5.75424203647604,-0.400045890931237,0.690324981498654,0.999012655624892,-5.00120261181781,"GSTO1"
"RRP1B",0.150131511457039,5.64125143779273,0.399894985356135,0.690435625059784,0.999012655624892,-5.00056972797849,"RRP1B"
"AC090907.2",0.205032518631361,4.05426380859978,0.400469676131841,0.690453457873276,0.999012655624892,-4.88976585540698,"AC090907.2"
"AL355488.1",0.172884866670821,4.40839577971276,0.400450821592154,0.690467256182084,0.999012655624892,-4.90796078441478,"AL355488.1"
"MRTO4",-0.160990215157184,4.5230646867453,-0.399804418923602,0.690502031368311,0.999012655624892,-4.92382033520315,"MRTO4"
"PLCB3",0.150645697861709,4.88060085696931,0.399758087977656,0.690536003693381,0.999012655624892,-4.94986133713664,"PLCB3"
"FCN3",-0.168797133292503,4.08862429839825,-0.399896644467292,0.690565695035629,0.999012655624892,-4.90192064541514,"FCN3"
"KCNIP3",0.160506553582391,4.64515501785807,0.399693642223097,0.690583259822697,0.999012655624892,-4.93427164299694,"KCNIP3"
"MANEA",-0.159808774720231,5.46650025767546,-0.399659707527525,0.690608143607142,0.999012655624892,-4.99074681455301,"MANEA"
"C12orf73",0.159638005414325,4.59030705226222,0.399586924913918,0.690661515117214,0.999012655624892,-4.92941057850328,"C12orf73"
"AL669831.5",-0.164384119753153,4.50376370626663,-0.400015308662886,0.690786006856879,0.999012655624892,-4.9189987190476,"AL669831.5"
"ERC1",-0.105514564149203,8.73985912094538,-0.399405380175123,0.690794648766957,0.999012655624892,-5.18059043667055,"ERC1"
"AC025419.1",0.184618259293797,3.91700388913795,0.400269821158873,0.690813524626168,0.999012655624892,-4.8861596257549,"AC025419.1"
"GATAD1",0.152085301241691,5.08247873328511,0.399221020349863,0.690929856822843,0.999012655624892,-4.95969757975558,"GATAD1"
"ZDHHC7",0.139493042830647,5.81690603891236,0.399207081464028,0.690940079902331,0.999012655624892,-5.00406350964868,"ZDHHC7"
"ATP6V0E1",0.13564752448024,7.08324174143665,0.399084959625805,0.691029649153315,0.999012655624892,-5.06499411407039,"ATP6V0E1"
"CHAF1A",0.18194571375507,3.94350379246779,0.399109089632962,0.691064794330966,0.999012655624892,-4.8957096285766,"CHAF1A"
"LRRN2",-0.177137567090806,4.57823764756914,-0.398966679136099,0.691116405209898,0.999012655624892,-4.93207264085783,"LRRN2"
"ELMO3",-0.187109566636269,3.96653396728548,-0.398882844563169,0.691177898476429,0.999012655624892,-4.89066513932917,"ELMO3"
"FAM131B",-0.190884236955853,4.01606404543302,-0.398712296395992,0.691303003214071,0.999012655624892,-4.89568087481559,"FAM131B"
"CTSZ",0.141621762501182,6.07701559389026,0.398699108840299,0.691312677236826,0.999012655624892,-5.01634705512726,"CTSZ"
"SLC22A15",-0.166682467301765,4.7752499746036,-0.398636111498315,0.691358891038613,0.999012655624892,-4.94330130210967,"SLC22A15"
"FBXW4",-0.127657214851065,7.18024491758055,-0.398634370237106,0.691360168415539,0.999012655624892,-5.08489836637461,"FBXW4"
"BICDL1",-0.182806662162842,3.94350379246779,-0.398510141082357,0.691451304361236,0.999012655624892,-4.8939966587248,"BICDL1"
"ERMARD",0.157296777287021,4.82723150545348,0.398179210788738,0.691694100930442,0.999012655624892,-4.94565989237387,"ERMARD"
"AL049875.1",0.187464140082233,4.23152710053639,0.398613729280383,0.6918122015946,0.999012655624892,-4.89737450066835,"AL049875.1"
"DSTYK",-0.137644443517605,6.00778246799707,-0.39796208533674,0.691853418880141,0.999012655624892,-5.01664870005371,"DSTYK"
"MRM3",0.178957892755641,4.267553709539,0.397934833422032,0.691873416226359,0.999012655624892,-4.91062846779815,"MRM3"
"MYO1C",0.123510504297455,7.54073894160454,0.397895608761746,0.691902199510693,0.999012655624892,-5.09566893709879,"MYO1C"
"THG1L",-0.175115736712941,4.21418435802316,-0.397866575457388,0.691923504611393,0.999012655624892,-4.90270704820493,"THG1L"
"HCN3",-0.190377230851412,3.84444363617272,-0.398477647425665,0.691977115818571,0.999012655624892,-4.88585367042374,"HCN3"
"ECHDC1",0.151226190433344,5.09969682046318,0.397784592281696,0.691983666514513,0.999012655624892,-4.96769992318037,"ECHDC1"
