Genes,E3_0,E3_1,E3_2,E4_0,E4_1,E4_2
SWSAP1,2.55116,2.32796,2.09132,1.70055,2.52205,1.85063
SWT1,2.37593,2.80912,2.42362,2.9806,3.32564,2.63111
SYAP1,22.0282,21.7734,22.2077,21.8701,24.4969,22.9495
SYBU,5.09422,5.52542,5.11148,1.80305,2.0055,1.68071
SYCE1,0,0,0,0,0,0
SYCE1L,6.61469,6.68503,7.73526,4.41665,2.19344,5.09656
SYCE2,0.870406,2.32603,0.614584,1.08745,1.13398,0.616368
SYCE3,0.379573,0.417676,1.12565,0,0,0.376307
SYCN,0,0,0,0,0.329521,0.322396
SYCP1,0,0,0,0,0,0
SYCP2,0.0860272,0.132528,0.08504,0,0.156909,0.0682295
SYCP2L,1.11704,1.19502,0.920182,1.15329,0.97469,0.861329
SYCP3,0.69743,0.219208,0.295423,0,0.706708,0.296283
SYDE1,24.9666,25.5409,26.2686,23.3896,25.0576,27.6134
SYDE2,2.23557,2.2162,2.05065,4.20528,4.97962,4.13316
SYF2,17.5917,15.2957,14.8241,16.4342,16.9491,16.9259
SYK,0.423355,0.529379,0.456543,0.44177,0.526487,0.515103
SYMPK,23.0568,23.0648,23.8283,21.7186,20.3162,22.0227
SYN1,1.70343,2.01893,2.03715,1.20342,1.54929,1.60088
SYN2,0.145778,0.241433,0.292583,0.24927,0.453427,0.333604
SYN3,0,0.039236,0.105748,0.0349621,0.0648239,0.0353498
SYNC,22.3551,22.5002,20.6096,20.1276,20.0316,17.4686
SYNCRIP,32.7326,34.646,28.4206,40.0433,40.5397,35.6268
SYNDIG1,0.284475,0.178875,0.080346,0.266559,0.2059,0.402896
SYNDIG1L,0.0755315,0.0415567,0.111997,0.0825702,0,0.0374407
SYNE1,4.29628,4.14736,4.18985,6.77969,6.11468,5.70601
SYNE2,7.47553,7.30118,7.08199,6.06908,7.32039,5.50681
SYNE3,1.7437,2.08134,1.51918,2.81083,2.09632,2.16819
SYNE4,0.407097,0.223981,0.0670709,0.0741723,0.0687522,0
SYNGAP1,9.45928,9.35933,8.91797,8.93922,8.09587,8.02932
SYNGR1,24.2911,26.1807,24.2732,23.1954,20.706,27.4372
SYNGR2,26.9734,26.331,26.3027,20.7674,17.5223,24.8096
SYNGR3,0.442142,0.756817,0.874137,0.64446,0.448024,1.12019
SYNGR4,0,0.246023,0.110507,0.366623,0,0
SYNJ1,1.69758,1.77904,1.58775,2.04725,2.02052,1.69636
SYNJ2,4.45894,4.71105,4.76078,3.22356,3.55037,3.20702
SYNJ2-IT1,0,0.504337,0.226535,0.501041,0.464427,0.227192
SYNJ2BP,7.97108,7.28511,7.17253,6.41241,6.73803,5.9705
SYNJ2BP-COX16,0.000637583,7.87E-05,0.00568686,0.000157185,0.504928,0.236874
SYNM,11.8233,11.7113,11.2185,12.8572,13.4241,12.6712
SYNPO,29.7569,28.0141,31.0982,26.3477,25.2454,29.8998
SYNPO2,1.3056,1.34333,1.25756,2.75305,2.72485,2.65133
SYNPO2L,0.410996,0.408507,0.389917,0.228502,0.17562,0.184252
SYNPR,0,0,0,0,0,0
SYNPR-AS1,0,0,0,0,0,0
SYNRG,7.59251,8.91923,8.17871,8.53346,8.44344,7.78628
SYP,0.0814244,0.223995,0.120735,0.133518,0.288777,0.282533
SYPL1,27.8381,27.4406,24.3088,31.2842,35.4909,28.1565
SYPL2,0.152335,0.36319,0.276075,1.99837,1.85234,2.24018
SYS1,11.7885,10.4618,10.714,12.9891,13.0583,12.934
SYS1-DBNDD2,2.21942,1.83E-72,0.524065,4.70E-21,6.44E-44,2.16017
SYT1,2.67593,2.82585,2.41062,0.63689,0.634168,0.492099
SYT10,6.00755,6.57819,5.73484,8.82091,9.6385,8.34987
SYT11,3.98795,3.50274,3.99522,4.02724,4.65713,4.5387
SYT12,0.164665,0.0301899,0.027121,0.0299926,0.166856,0
SYT13,2.85904,2.8032,2.64506,0.400697,0.389987,0.381555
SYT14,0.276639,0.295329,0.113691,0.0628572,0.0971155,0.0760098
SYT14L,0,0,0,0,0,0
SYT15,3.59103,4.09649,4.73149,6.00109,4.04932,5.19826
SYT16,0.0309442,0.0681009,0.0611782,0.135311,0.0313559,0.122712
SYT17,0.265611,0.233818,0.157538,0.290363,0.430631,0.21066
SYT2,0.171657,0.26984,0.206049,0.388973,0.435031,0.522941
SYT3,0.239229,0.52649,0.394142,0.479461,0.646436,0.513872
SYT4,0.0932873,0.102652,0.0461084,1.35124,1.15797,0.947965
SYT5,0.223884,0.123179,0.0553288,0,0,0.0554894
SYT6,0,0.0480557,0.0431707,0,0,0
SYT7,0.228044,0.317853,0.240456,0.216055,0.154051,0.135647
SYT8,1.71145,1.71949,1.32403,1.13883,0.980211,1.10656
SYT9,0.193431,0.13303,0.119507,0.237889,0.147003,0.191766
SYTL1,1.23591,1.81335,1.40304,1.23848,1.56547,2.04208
